timestamp,equipment_id,temp_in,temp_out,pressure_bar,status,maintenance_needed
2026-01-01 08:00:00,HEX-01,183.4,43.0,3.54,NORMAL,False
2026-01-01 08:05:00,HEX-02,182.7,41.4,3.75,NORMAL,False
2026-01-01 08:10:00,HEX-03,181.4,41.6,3.69,NORMAL,False
2026-01-01 08:15:00,HEX-04,183.7,41.3,3.49,NORMAL,False
2026-01-01 08:20:00,HEX-01,187.2,41.4,3.43,NORMAL,False
2026-01-01 08:25:00,HEX-02,184.3,44.2,3.83,NORMAL,False
2026-01-01 08:25:00,HEX-02,184.3,44.2,3.83,NORMAL,False
2026-01-01 08:30:00,HEX-03,186.5,42.4,3.61,NORMAL,false
2026-01-01 08:35:00,HEX-04,187.2,,3.68,NORMAL,False
2026-01-01 08:40:00,HEX-01,183.1,41.4,3.64,NORMAL,False
2026-01-01 08:45:00,HEX-02,,41.9,3.37,NORMAL,False
2026-01-01 08:50:00,HEX-03,184.6,39.2,3.23,NORMAL,False
2026-01-01 08:55:00,HEX-04,184.0,42.9,3.47,NORMAL,False
2026-01-01 09:00:00,HEX-01,185.0,42.7,3.37,NORMAL,False
2026-01-01 09:00:00,HEX-01,999.9,42.7,3.37,CRITICAL,True
2026-01-01 09:05:00,HEX-02,185.4,41.2,3.24,NORMAL,
2026-01-01 09:10:00,HEX-03,184.4,42.6,3.55,NORMAL,False
2026-01-01 09:15:00,HEX-04,185.0,44.4,3.56,NORMAL,False
2026-01-01 09:20:00,HEX-01,cento e oitenta,44.2,3.31,NORMAL,False
2026-01-01 09:25:00,HEX-02,183.4,43.7,3.38,NORMAL,False
2026-01-01 09:30:00,HEX-03,185.0,43.1,N/A,NORMAL,False
2026-01-01 09:35:00,HEX-04,187.6,43.5,3.66,NORMAL,False
2026-01-01 09:40:00,HEX-01,183.8,42.8,3.55,NORMAL,FALSE
2026-01-01 09:45:00,HEX-02,183.0,43.4,3.62,NORMAL,False
2026-01-01 09:50:00,HEX-03,185.1,41.8,3.32,NORMAL,False
2026-01-01 09:55:00,HEX-04,185.3,42.5,3.38,NORMAL,False
2026-01-01 10:00:00,HEX-01,186.7,40.9,3.18,NORMAL,False
2026-01-01 10:05:00,HEX-02,186.6,41.6,3.48,NORMAL,False
2026-01-01 10:05:00,HEX-02,186.6,41.6,3.48,NORMAL,False
2026-01-01 10:10:00,HEX-03,183.7,40.4,3.69,NORMAL,False
2026-01-01 10:15:00,HEX-04,-50.0,43.7,3.62,NORMAL,False
2026-01-01 10:20:00,HEX-01,184.5,40.9,3.39,NORMAL,False
2026-01-01 10:25:00,HEX-02,183.2,44.1,3.52,NORMAL,False
2026-01-01 10:30:00,HEX-03,186.7,,3.53,NORMAL,False
2026-01-01 10:35:00,HEX-04,186.8,41.7,3.65,NORMAL,False
2026-01-01 10:40:00,HEX-01,183.4,40.6,3.56,NORMAL,true
2026-01-01 10:45:00,HEX-02,184.4,42.6,3.2,NORMAL,False
2026-01-01 10:50:00,HEX-03,186.1,44.6,3.5,NORMAL,False
2026-01-01 10:55:00,HEX-04,185.1,42.2,tres ponto cinco,NORMAL,False
2026-01-01 11:00:00,HEX-01,185.6,40.4,3.44,NORMAL,False
2026-01-01 11:05:00,HEX-02,186.9,41.3,3.58,NORMAL,False
2026-01-01 11:10:00,HEX-03,186.5,42.3,3.29,NORMAL,False
2026-01-01 11:15:00,HEX-04,184.5,44.0,3.2,NORMAL,False
2026-01-01 11:20:00,HEX-01,184.6,41.4,3.52,NORMAL,False
2026-01-01 11:20:00,HEX-01,184.6,41.4,3.52,NORMAL,False
2026-01-01 11:25:00,HEX-02,,43.6,3.46,NORMAL,False
2026-01-01 11:30:00,HEX-03,186.2,42.5,3.57,NORMAL,False
2026-01-01 11:35:00,HEX-04,184.2,41.0,3.33,NORMAL,False
2026-01-01 11:40:00,HEX-01,183.9,42.3,3.61,NORMAL,False
2026-01-01 11:45:00,HEX-02,185.5,41.5,3.77,NORMAL,False
2026-01-01 11:50:00,HEX-03,187.3,41.6,3.38,NORMAL,
2026-01-01 11:55:00,HEX-04,185.2,43.3,3.55,NORMAL,False
2026-01-01 12:00:00,HEX-01,185.8,41.8,3.57,NORMAL,False
2026-01-01 12:05:00,HEX-02,187.3,41.8,3.52,NORMAL,False
2026-01-01 12:10:00,HEX-03,185.4,42.3,3.29,NORMAL,False
2026-01-01 12:15:00,HEX-04,182.2,41.0,3.53,NORMAL,False
2026-01-01 12:20:00,HEX-01,185.8,41.5,3.71,NORMAL,False
2026-01-01 12:25:00,HEX-02,184.8,42.0,3.47,NORMAL,False
2026-01-01 12:30:00,HEX-03,185.2,42.7,3.6,NORMAL,False
2026-01-01 12:35:00,HEX-04,183.7,43.5,3.34,NORMAL,False
2026-01-01 12:35:00,HEX-04,183.7,43.5,N/A,NORMAL,False
2026-01-01 12:40:00,HEX-01,185.1,41.7,3.34,NORMAL,False
2026-01-01 12:45:00,HEX-02,cento e oitenta e quatro,41.3,3.51,NORMAL,False
2026-01-01 12:50:00,HEX-03,185.6,43.5,3.55,NORMAL,False
2026-01-01 12:55:00,HEX-04,184.1,41.6,3.52,NORMAL,False
2026-01-01 13:00:00,HEX-01,185.1,43.5,3.71,NORMAL,False
2026-01-01 13:05:00,HEX-02,184.5,41.5,3.12,NORMAL,False
2026-01-01 13:10:00,HEX-03,184.2,41.0,3.45,NORMAL,False
2026-01-01 13:15:00,HEX-04,185.6,42.2,3.5,NORMAL,false
2026-01-01 13:20:00,HEX-01,185.3,41.9,3.53,NORMAL,False
2026-01-01 13:25:00,HEX-02,180.2,41.7,3.48,NORMAL,False
2026-01-01 13:30:00,HEX-03,184.5,41.8,3.61,NORMAL,False
2026-01-01 13:35:00,HEX-04,184.1,-20.5,3.6,NORMAL,False
2026-01-01 13:40:00,HEX-01,185.0,41.8,3.49,NORMAL,False
2026-01-01 13:45:00,HEX-02,183.6,41.9,3.54,NORMAL,False
2026-01-01 13:50:00,HEX-03,185.9,42.6,3.46,NORMAL,False
2026-01-01 13:50:00,HEX-03,185.9,42.6,3.46,NORMAL,False
2026-01-01 13:55:00,HEX-04,182.9,,3.74,NORMAL,False
2026-01-01 14:00:00,HEX-01,186.3,42.4,3.39,NORMAL,False
2026-01-01 14:05:00,HEX-02,185.0,40.7,3.42,NORMAL,False
2026-01-01 14:10:00,HEX-03,999.9,41.6,3.64,CRITICAL,True
2026-01-01 14:15:00,HEX-04,182.9,41.1,3.29,NORMAL,False
2026-01-01 14:20:00,HEX-01,183.1,42.1,3.26,NORMAL,False
2026-01-01 14:25:00,HEX-02,186.1,41.8,3.51,NORMAL,False
2026-01-01 14:30:00,HEX-03,185.5,41.6,3.65,NORMAL,False
2026-01-01 14:35:00,HEX-04,184.7,42.6,3.47,NORMAL,
2026-01-01 14:40:00,HEX-01,185.4,42.3,3.54,NORMAL,False
2026-01-01 14:45:00,HEX-02,183.5,42.4,3.45,NORMAL,False
2026-01-01 14:50:00,HEX-03,185.9,39.8,3.28,NORMAL,False
2026-01-01 14:55:00,HEX-04,185.5,43.9,3.63,NORMAL,TRUE
2026-01-01 15:00:00,HEX-01,,40.3,3.61,NORMAL,False
2026-01-01 15:05:00,HEX-02,184.9,42.6,3.52,NORMAL,False
2026-01-01 15:10:00,HEX-03,185.0,45.0,3.5,NORMAL,False
2026-01-01 15:15:00,HEX-04,184.8,41.9,3.41,NORMAL,False
2026-01-01 15:20:00,HEX-01,186.5,41.6,3.6,NORMAL,False
2026-01-01 15:20:00,HEX-01,186.5,quarenta e dois,3.6,NORMAL,False
2026-01-01 15:25:00,HEX-02,185.4,43.2,3.56,NORMAL,False
2026-01-01 15:30:00,HEX-03,183.2,40.7,3.71,NORMAL,False
2026-01-01 15:35:00,HEX-04,184.1,40.7,3.4,NORMAL,False
2026-01-01 15:40:00,HEX-01,186.9,40.6,3.37,NORMAL,False
2026-01-01 15:45:00,HEX-02,184.0,40.7,3.32,NORMAL,False
2026-01-01 15:50:00,HEX-03,182.7,41.5,3.45,NORMAL,False
2026-01-01 15:55:00,HEX-04,184.0,40.3,3.69,NORMAL,False
2026-01-01 16:00:00,HEX-01,183.0,42.3,3.34,NORMAL,False
2026-01-01 16:05:00,HEX-02,186.0,43.0,3.37,NORMAL,true
2026-01-01 16:10:00,HEX-03,182.1,42.7,,NORMAL,False
2026-01-01 16:15:00,HEX-04,185.6,42.2,3.62,NORMAL,False
2026-01-01 16:20:00,HEX-01,186.1,41.2,3.4,NORMAL,False
2026-01-01 16:25:00,HEX-02,185.9,41.9,3.7,NORMAL,False
2026-01-01 16:30:00,HEX-03,183.9,42.8,3.55,NORMAL,False
2026-01-01 16:30:00,HEX-03,183.9,42.8,quatro ponto zero,NORMAL,False
2026-01-01 16:35:00,HEX-04,184.8,43.2,3.6,NORMAL,False
2026-01-01 16:40:00,HEX-01,183.5,,3.71,NORMAL,False
2026-01-01 16:45:00,HEX-02,184.8,41.8,3.4,NORMAL,False
2026-01-01 16:50:00,HEX-03,185.0,42.7,3.38,NORMAL,False
2026-01-01 16:55:00,HEX-04,183.0,41.6,3.29,NORMAL,False
2026-01-01 17:00:00,HEX-01,185.8,41.6,3.24,NORMAL,False
2026-01-01 17:05:00,HEX-02,184.5,41.8,3.57,NORMAL,False
2026-01-01 17:10:00,HEX-03,184.8,43.9,-15.2,NORMAL,False
2026-01-01 17:15:00,HEX-04,184.9,41.9,3.46,NORMAL,False
2026-01-01 17:20:00,HEX-01,185.2,42.5,3.7,NORMAL,False
2026-01-01 17:25:00,HEX-02,182.6,41.5,3.43,NORMAL,False
2026-01-01 17:30:00,HEX-03,186.4,41.6,3.22,NORMAL,FALSE
2026-01-01 17:35:00,HEX-04,185.1,42.0,3.53,NORMAL,False
2026-01-01 17:35:00,HEX-04,185.1,42.0,3.53,NORMAL,False
2026-01-01 17:40:00,HEX-01,183.4,43.7,3.45,NORMAL,
2026-01-01 17:45:00,HEX-02,184.7,41.1,3.36,NORMAL,False
2026-01-01 17:50:00,HEX-03,183.2,41.6,3.36,NORMAL,False
2026-01-01 17:55:00,HEX-04,188.1,40.1,3.33,NORMAL,False
2026-01-01 18:00:00,HEX-01,184.4,42.7,3.44,NORMAL,False
2026-01-01 18:05:00,HEX-02,186.0,41.0,3.51,NORMAL,False
2026-01-01 18:10:00,HEX-03,187.6,41.0,3.56,NORMAL,False
2026-01-01 18:15:00,HEX-04,185.3,39.7,3.41,NORMAL,False
2026-01-01 18:20:00,HEX-01,186.7,42.1,3.32,NORMAL,False
2026-01-01 18:25:00,HEX-02,186.0,41.5,3.55,NORMAL,False
2026-01-01 18:30:00,HEX-03,,40.9,3.62,NORMAL,False
2026-01-01 18:35:00,HEX-04,183.5,40.7,3.37,NORMAL,False
2026-01-01 18:40:00,HEX-01,184.5,42.1,3.38,NORMAL,False
2026-01-01 18:45:00,HEX-02,1500.0,42.3,3.4,NORMAL,False
2026-01-01 18:50:00,HEX-03,186.3,43.2,3.49,NORMAL,False
2026-01-01 18:50:00,HEX-03,186.3,43.2,N/A,NORMAL,False
2026-01-01 18:55:00,HEX-04,184.7,40.2,3.44,NORMAL,False
2026-01-01 19:00:00,HEX-01,184.6,42.2,3.47,NORMAL,false
2026-01-01 19:05:00,HEX-02,185.4,43.5,3.42,NORMAL,False
2026-01-01 19:10:00,HEX-03,184.3,40.7,3.5,NORMAL,False
2026-01-01 19:15:00,HEX-04,999.9,40.2,3.4,CRITICAL,True
2026-01-01 19:20:00,HEX-01,185.1,42.9,3.56,NORMAL,False
2026-01-01 19:25:00,HEX-02,185.5,41.8,3.57,NORMAL,False
2026-01-01 19:30:00,HEX-03,186.5,,3.61,NORMAL,False
2026-01-01 19:35:00,HEX-04,184.9,41.5,3.13,NORMAL,False
2026-01-01 19:40:00,HEX-01,182.9,43.7,3.4,NORMAL,False
2026-01-01 19:45:00,HEX-02,183.4,41.5,3.39,NORMAL,False
2026-01-01 19:50:00,HEX-03,185.2,43.5,3.41,NORMAL,False
2026-01-01 19:55:00,HEX-04,185.2,40.9,3.73,NORMAL,False
2026-01-01 20:00:00,HEX-01,185.3,40.9,3.64,NORMAL,False
2026-01-01 20:05:00,HEX-02,186.8,42.2,3.25,NORMAL,
2026-01-01 20:10:00,HEX-03,187.7,42.3,3.68,NORMAL,False
2026-01-01 20:15:00,HEX-04,184.2,41.6,3.52,NORMAL,False
2026-01-01 20:20:00,HEX-01,186.7,42.1,3.31,NORMAL,False
2026-01-01 20:25:00,HEX-02,185.4,43.6,3.51,NORMAL,False
